"PCA_Number","Variance_Explained"
256,0.905992864548046
257,0.906302150083117
258,0.906611048983366
259,0.906919552843868
260,0.907227778352175
261,0.907535339457083
262,0.907842326318425
263,0.908149138694722
264,0.908455056655894
265,0.908760605158206
266,0.909065606748793
267,0.909370295309218
268,0.909673984402537
269,0.909976557025803
270,0.910278995362667
271,0.910580980523509
272,0.910882412209888
273,0.911183592669314
274,0.911484238890162
275,0.911784136483947
276,0.912083930570931
277,0.912382655208502
278,0.912681074716585
279,0.912979230322376
280,0.913276969829451
281,0.913573977359238
282,0.913870753415406
283,0.914166654247815
284,0.914461809840813
285,0.914756471518326
286,0.915050973117911
287,0.915345332012671
288,0.915638913564082
289,0.91593142402381
290,0.916223777701934
291,0.916515820779522
292,0.916807650588338
293,0.917098847349559
294,0.917389834847652
295,0.91768043516481
296,0.917970360220836
297,0.918259735202569
298,0.918548716610587
299,0.918837057542751
300,0.919124810281884
301,0.919412381218775
302,0.919699714413631
303,0.919986460030297
304,0.920272758302557
305,0.92055861811294
306,0.920843953300899
307,0.921128646464461
308,0.92141325885685
309,0.921697523816413
310,0.921981009809945
311,0.922264262278043
312,0.922547247661271
313,0.922829987185982
314,0.923112125153972
315,0.92339352274505
316,0.923674642859069
317,0.923955422836199
318,0.924235897090036
319,0.924515943998542
320,0.924795771966919
321,0.925074924403373
322,0.925353968399176
323,0.925632622275523
324,0.925910884067532
325,0.926188555633312
326,0.926465839962605
327,0.926742879358849
328,0.92701932976441
329,0.9272955092278
330,0.927571426419968
331,0.927846323205021
332,0.928121069344793
333,0.928395276803056
334,0.928669269240458
335,0.928942860237101
336,0.929216205454153
337,0.929488968377116
338,0.929760923899326
339,0.930032808188742
340,0.930304212714511
341,0.930575326882954
342,0.930845994329522
343,0.931116252294052
344,0.931386139286391
345,0.931655651045166
346,0.931924532863659
347,0.932193166757407
348,0.932461709474003
349,0.932729310749808
350,0.932996409118621
351,0.933263271250119
352,0.933530053396313
353,0.93379624205795
354,0.934061966938143
355,0.934327549772601
356,0.934592666438806
357,0.934857383204987
358,0.935121617324752
359,0.935385493019917
360,0.93564894168574
361,0.935912249297861
362,0.936175130556148
363,0.936437696715082
364,0.93670014589223
365,0.936962286498519
366,0.937224189076901
367,0.93748589926081
368,0.937746534387205
369,0.938006914473371
370,0.938266762572169
371,0.938526220224573
372,0.938785327309792
373,0.939044261615986
374,0.939302880537817
375,0.939560701217661
376,0.939818341244946
377,0.94007570060416
378,0.940332417624276
379,0.940588969371451
380,0.940845061582774
381,0.941100813736057
382,0.941356375406309
383,0.941611870978308
384,0.941866648880331
385,0.942121389053236
386,0.942375498464353
387,0.942629481507185
388,0.942883082165809
389,0.943136365697764
390,0.943389239623248
391,0.943641657255554
392,0.943893921216805
393,0.944145483327
394,0.944396710291944
395,0.94464758682432
396,0.944898321469469
397,0.945148775223606
398,0.945398889501871
399,0.945648807851471
400,0.945898483848415
401,0.946147553581992
402,0.946396350236271
403,0.94664488795386
404,0.946892891579653
405,0.947140646177273
406,0.9473877378558
407,0.947634710769264
408,0.947880941760694
409,0.948126928529536
410,0.948372888322315
411,0.948618556993848
412,0.948863813768751
413,0.949108682854549
414,0.949353086001144
415,0.949596986443552
416,0.949840813309397
417,0.950084321901373
418,0.950327347313918
419,0.950570120805268
420,0.95081268590648
421,0.951054991541813
