ID,Gene Symbol
1553046_PM_s_at,GAL3ST2
1553047_PM_at,PIP4K2B
1553048_PM_a_at,PIP4K2B
1553051_PM_s_at,ODF3
1553052_PM_at,WFDC13
1553053_PM_at,C14orf48
1553055_PM_a_at,SLFN5
1553057_PM_at,SERPINB12
1553058_PM_at,GIPC3
1553059_PM_at,PGLYRP3
1553060_PM_at,PSKH2
1553061_PM_at,OR6W1P
1553062_PM_at,MOGAT1
1553063_PM_at,GPR78
1553064_PM_at,H1FOO
1553066_PM_at,TAAR9
1553067_PM_a_at,GNRHR2
1553069_PM_at,C21orf87
1553070_PM_a_at,MYOZ3
1553071_PM_a_at,MYOZ3
1553072_PM_at,BNIPL
1553074_PM_at,ASB11
1553075_PM_a_at,OFCC1
1553076_PM_at,OFCC1
1553077_PM_at,SDR9C7
1553078_PM_at,OR5P3
1553079_PM_at,TRIM40
1553080_PM_at,CSN1S2A
1553081_PM_at,WFDC12
1553082_PM_at,CRYGN
1553083_PM_at,
1553084_PM_at,STARD6
1553086_PM_at,C11orf40
1553087_PM_at,C18orf12
1553088_PM_a_at,BCL2L11
1553089_PM_a_at,WFDC2
1553093_PM_a_at,DEFB119
1553094_PM_at,TAC4
1553096_PM_s_at,BCL2L11
1553099_PM_at,TIGD1
1553101_PM_a_at,ALKBH5
1553102_PM_a_at,CCDC69
1553103_PM_at,NFX1
1553105_PM_s_at,DSG2
1553106_PM_at,C5orf24
1553107_PM_s_at,C5orf24
1553108_PM_at,C5orf24
1553111_PM_a_at,KBTBD6
1553112_PM_s_at,CDK8
1553113_PM_s_at,CDK8
1553114_PM_a_at,PTK6
1553115_PM_at,NKD1
1553117_PM_a_at,STK38
1553118_PM_at,THEM4
1553120_PM_at,CLSPN
1553122_PM_s_at,RBAK
1553123_PM_at,WDR62
1553125_PM_x_at,WDR62
1553126_PM_a_at,SLC39A12
1553127_PM_a_at,RNF168
1553129_PM_at,SVEP1
1553130_PM_at,LOC652276
1553131_PM_a_at,GATA4
1553132_PM_a_at,TC2N
1553133_PM_at,C9orf72
1553134_PM_s_at,C9orf72
1553136_PM_at,KCTD18
1553137_PM_s_at,KLF11
1553138_PM_a_at,ANKLE1
1553139_PM_s_at,PLXNA3
1553140_PM_at,PELO
1553141_PM_at,C13orf31
1553142_PM_at,C13orf31
1553145_PM_at,FLJ39653
1553146_PM_at,C3orf30
1553147_PM_at,RANBP3L
1553148_PM_a_at,SNX13
1553150_PM_at,KDM1B
1553151_PM_at,ATP6V0D2
1553153_PM_at,ATP6V0D2
1553155_PM_x_at,ATP6V0D2
1553156_PM_at,LHX4
1553157_PM_at,LHX4
1553158_PM_at,C3orf34
1553159_PM_at,DNAH11
1553162_PM_x_at,C19orf55
1553163_PM_at,ADPRHL1
1553165_PM_at,SYNRG
1553166_PM_at,CDH24
1553167_PM_a_at,SEPSECS
1553168_PM_at,GRIK5
1553169_PM_at,LRRN4
1553171_PM_x_at,LRRN4
1553172_PM_at,ZNF777
1553174_PM_at,JPH2
1553175_PM_s_at,PDE5A
1553176_PM_at,SH2D1B
1553177_PM_at,SH2D1B
1553178_PM_a_at,SSTR3
1553179_PM_at,ADAMTS19
1553180_PM_at,ADAMTS19
1553181_PM_at,DDX31
1553183_PM_at,UMODL1
1553185_PM_at,RASEF
1553186_PM_x_at,RASEF
1553188_PM_s_at,PARD3B
1553190_PM_s_at,PARD3B
1553191_PM_at,DST
1553192_PM_at,ZNF441
1553193_PM_at,ZNF441
1553194_PM_at,NEGR1
1553196_PM_a_at,FCRL3
1553197_PM_at,DCAF4L2
1553199_PM_at,DCAF4L2
1553202_PM_at,STOX1
1553204_PM_at,C20orf200
1553205_PM_at,C20orf200
1553207_PM_at,ARL10
1553208_PM_s_at,
1553209_PM_at,RNFT2
1553211_PM_at,ANKFN1
1553212_PM_at,KRT78
1553213_PM_a_at,KRT78
1553214_PM_a_at,CCDC7
1553215_PM_s_at,CCDC7
1553216_PM_at,ZNF41
1553217_PM_s_at,ZNF41
1553218_PM_a_at,ZNF512
1553219_PM_a_at,AMMECR1
1553220_PM_at,FAM117B
1553221_PM_at,ZNF583
1553222_PM_at,OXER1
1553224_PM_at,LUZP1
1553225_PM_s_at,ZNF75D
